id;device;androidurl;iosurl;comments;androidversion
1;IOS;disintermediate;Frozen card;upward-trending Data;Planner tan Barbados Dollar
2;ALL;Flats Saint Barthelemy communities;overriding;frame;Universal El Salvador Gorgeous Rubber Shirt
3;ALL;primary Maryland;Specialist protocol;Fantastic e-enable;Borders
4;IOS;Ridges;Avon;Balanced;digital Chair mobile
5;IOS;hacking Cambridgeshire;structure synthesizing;bypass Avon white;Small Norfolk Island azure
6;ANDROID;optical;systems Accounts out-of-the-box;wireless communities;cross-media
7;ANDROID;Georgia;Metal;District Clothing Multi-tiered;Maldives Extension envisioneer
8;ANDROID;Brand leverage Bedfordshire;Planner repurpose PNG;neural multi-byte Credit Card Account;Berkshire
9;ALL;Oklahoma;Borders azure;Group Plastic magenta;backing up Toys
10;IOS;Technician indigo;full-range;generate;encryption Tuna Sierra Leone
