id;contact_category;complaint_category;enquiry_category;status
1;ENQUIRY;ACCOUNTRELOADED;FRAUDALERT;CLOSE
2;ENQUIRY;ACCOUNTRELOADED;BUSINESSPARTNERSHIPS;CLOSE
3;ENQUIRY;FRAUDALERT;AGENCY;OPEN
4;ENQUIRY;ACCOUNTRELOADED;PRICING;CLOSE
5;ENQUIRY;CUSTOMERINFOUPGRADE;FRAUDALERT;CLOSE
6;ENQUIRY;ACCOUNTRELOADED;FRAUDALERT;ASSIGNED
7;COMPLAINT;FAILEDTRANSACTION;PRICING;ASSIGNED
8;ENQUIRY;FRAUDALERT;FRAUDALERT;CLOSE
9;ENQUIRY;FAILEDTRANSACTION;BUSINESSPARTNERSHIPS;CLOSE
10;ENQUIRY;KYCUPGRADE;PRODUCTOFFERINGS;CLOSE
