id;name;status;last_login_date;device_id;device_notification_token;profile_id
1;Sleek Fresh Chicken;INACTIVE;2021-06-10T17:55:52;Handmade;mobile Island;1
2;Coordinator;INACTIVE;2021-06-10T21:03:30;real-time;microchip plug-and-play Seamless;2
3;Kwanza;ACTIVE;2021-06-11T09:54:21;Product;Credit Card Account Tools Personal Loan Account;3
4;Refined Toys;ACTIVE;2021-06-10T11:35:57;SQL Mississippi interface;transmitter withdrawal violet;4
5;New Hampshire;INACTIVE;2021-06-10T20:03:49;bandwidth;Human Granite;5
6;New Hampshire Street Small;ACTIVE;2021-06-11T06:07:20;Music;invoice AI transform;6
7;system Fort;ACTIVE;2021-06-11T01:07:01;toolset;Mexico;7
8;Summit algorithm orchid;INACTIVE;2021-06-11T08:22:44;payment Colorado Officer;Isle intuitive Montana;8
9;RAM;ACTIVE;2021-06-10T14:02:27;Program;South Dakota Serbian Dinar synergies;9
10;Sports mobile Virgin Islands, U.S.;INACTIVE;2021-06-10T15:58:28;Brand Libyan Arab Jamahiriya Licensed;deposit neural Lock;10
