id;vendor_name;source_account;destination_bank_code;destination_account;amount;percentage
1;online Bacon;Agent Branding Savings Account;CFA Franc BCEAO initiative;Investment Account mint green;48642;36635
2;HTTP District matrix;Bond Markets Units European Composite Unit (EURCO);Mississippi;South Dakota HDD ivory;79984;82200
3;pink;Public-key aggregate connecting;Falls;Sausages;15680;92462
4;Bacon Home;Fresh;Shoes Qatari Rial disintermediate;Baby;34603;66529
5;Licensed viral;Radial;Buckinghamshire Tasty Integration;Plastic;17738;80494
6;Savings Account embrace Handmade Frozen Chair;connecting;Concrete;matrix;82098;26129
7;Auto Loan Account;Bedfordshire;Associate Fresh;compressing Bedfordshire Intuitive;65804;73647
8;Frozen Bedfordshire intranet;Web;encompassing Gorgeous Soft Chips deposit;transmitting;73474;33531
9;Overpass calculating;SQL District;mobile Intelligent Frozen Cheese;Coordinator;79333;37295
10;seize Strategist;violet;Soft;Tactics;82644;15439
